id,description,primary_clue,secondary_issues,primary_category,action,target,symptom,issue_key,is_multi_issue,label_confidence,n_issues,app,__sheet__,id_norm,issue_key_norm,text_used,text_col_used,raw_text_len,norm_text_len,text_key,has_anchor,drop_reason
10010000009466,注册账号时若输入字符无法显示，将导致无法用邮箱注册,注册账号时若输入字符无法显示，将导致无法用邮箱注册,,Functional-Account,register,other,cannot_or_fail,register.other.cannot_or_fail,N,High,1,jayme,jayme,10010000009466,register.other.cannot_or_fail,注册账号时若输入字符无法显示，将导致无法用邮箱注册,primary_clue,25,24,注册账号时若输入字符无法显示 将导致无法用邮箱注册,1,
10010000008326,"*必须选择至少一个好友才可以创建群聊，单独自己不可以；
*成员退出群聊，群主收不到提醒；
*注册时，不可以用邮箱注册，不可以输入数字以外的其他字符；",必须选择至少一个好友才可以创建群聊，单独自己不可以,成员退出群聊，群主收不到提醒 || 注册时，不可以用邮箱注册，不可以输入数字以外的其他字符,Functional-Social,groupchat,chat,cannot_or_fail,groupchat.chat.cannot_or_fail,Y,Medium,3,jayme,jayme,10010000008326,groupchat.chat.cannot_or_fail,必须选择至少一个好友才可以创建群聊，单独自己不可以,primary_clue,25,24,必须选择至少一个好友才可以创建群聊 单独自己不可以,1,
10010000007965,说可以用手机或邮箱注册，但输入框不接受任何字符输入，所以实际上无法完成邮箱注册。而且同时输入框最右没有一键删除所输入内容的叉号按钮，所以当用户想要一键删除输入内容时会很不方便,说可以用手机或邮箱注册，但输入框不接受任何字符输入，所以实际上无法完成邮箱注册。而且同时输入框最右没有一键删除所输入内容的叉号按钮，所…,,Functional-Account,register,input_box,cannot_input,register.input_box.cannot_input,N,High,1,jayme,jayme,10010000007965,register.input_box.cannot_input,说可以用手机或邮箱注册，但输入框不接受任何字符输入，所以实际上无法完成邮箱注册。而且同时输入框最右没有一键删除所输入内容的叉号按钮，所…,primary_clue,68,63,说可以用手机或邮箱注册 但输入框不接受任何字符输入 所以实际上无法完成邮箱注册 而且同时输入框最右没有一键删除所输入内容的叉号按钮 所,1,
10010000009059,在用户注册界面输入手机号码或邮箱时，只能输入数字，不能输入英文，不知是测试手机的原因还是程序设定,在用户注册界面输入手机号码或邮箱时，只能输入数字，不能输入英文，不知是测试手机的原因还是程序设定,,Functional-Account,register,page_view,cannot_input,register.page_view.cannot_input,N,High,1,jayme,jayme,10010000009059,register.page_view.cannot_input,在用户注册界面输入手机号码或邮箱时，只能输入数字，不能输入英文，不知是测试手机的原因还是程序设定,primary_clue,48,45,在用户注册界面输入手机号码或邮箱时 只能输入数字 不能输入英文 不知是测试手机的原因还是程序设定,1,
10010000008005,写的有邮箱注册，但是无邮箱特殊符号@,写的有邮箱注册，但是无邮箱特殊符号@,,Functional-Account,register,other,other,register.other.other,N,High,1,jayme,jayme,10010000008005,register.other.other,写的有邮箱注册，但是无邮箱特殊符号@,primary_clue,18,16,写的有邮箱注册 但是无邮箱特殊符号,1,
10010000008227,注册时输入不进去@，无法用邮箱进行注册,注册时输入不进去@，无法用邮箱进行注册,,Functional-Account,register,other,cannot_or_fail,register.other.cannot_or_fail,N,High,1,jayme,jayme,10010000008227,register.other.cannot_or_fail,注册时输入不进去@，无法用邮箱进行注册,primary_clue,19,17,注册时输入不进去 无法用邮箱进行注册,1,
10010000007984,注册杰迷吧的时候，提示可以用手机和邮箱注册，可是实际上邮箱并不能注册,注册杰迷吧的时候，提示可以用手机和邮箱注册，可是实际上邮箱并不能注册,,Functional-Account,register,other,cannot_or_fail,register.other.cannot_or_fail,N,High,1,jayme,jayme,10010000007984,register.other.cannot_or_fail,注册杰迷吧的时候，提示可以用手机和邮箱注册，可是实际上邮箱并不能注册,primary_clue,34,32,注册杰迷吧的时候 提示可以用手机和邮箱注册 可是实际上邮箱并不能注册,1,
10010000007892,当进行注册时，实验邮箱注册时无法弹出@符号，也没有邮箱提示。给用户注册带来麻烦,当进行注册时，实验邮箱注册时无法弹出@符号，也没有邮箱提示。给用户注册带来麻烦,,Functional-Account,register,other,cannot_or_fail,register.other.cannot_or_fail,N,High,1,jayme,jayme,10010000007892,register.other.cannot_or_fail,当进行注册时，实验邮箱注册时无法弹出@符号，也没有邮箱提示。给用户注册带来麻烦,primary_clue,39,35,当进行注册时 实验邮箱注册时无法弹出 符号 也没有邮箱提示 给用户注册带来麻烦,1,
10010000009472,注册页面提示可以使用邮箱注册，但是注册的时候不能输入字母。用邮箱注册的功能不能实现。,注册页面提示可以使用邮箱注册，但是注册的时候不能输入字母。用邮箱注册的功能不能实现。,,Functional-Account,register,page_view,cannot_input,register.page_view.cannot_input,N,High,1,jayme,jayme,10010000009472,register.page_view.cannot_input,注册页面提示可以使用邮箱注册，但是注册的时候不能输入字母。用邮箱注册的功能不能实现。,primary_clue,42,39,注册页面提示可以使用邮箱注册 但是注册的时候不能输入字母 用邮箱注册的功能不能实现,1,
10010000007514,步骤2后使用邮箱注册时，无法输入@符号及其以后的信息，见截图1，因此无法通过邮箱进行注册,步骤2后使用邮箱注册时，无法输入@符号及其以后的信息，见截图1，因此无法通过邮箱进行注册,,Functional-Account,register,other,cannot_input,register.other.cannot_input,N,High,1,jayme,jayme,10010000007514,register.other.cannot_input,步骤2后使用邮箱注册时，无法输入@符号及其以后的信息，见截图1，因此无法通过邮箱进行注册,primary_clue,44,40,步骤2后使用邮箱注册时 无法输入 符号及其以后的信息 见截图1 因此无法通过邮箱进行注册,1,
