app,issue_key,issue_size,n_unique_text_key,unique_text_ratio,other_token_count,has_any_anchor_rate,median_raw_text_len,broad_issue_flag,kept_issue_size
途牛,message_send.chat.other,193,188,0.9740932642487047,1,1.0,31.0,1,0
途牛,other.other.other,159,158,0.9937106918238994,3,1.0,30.0,1,0
途牛,private_chat.chat.other,128,128,1.0,1,1.0,33.0,1,0
途牛,message_send.page_view.other,94,92,0.9787234042553191,1,1.0,37.5,1,0
途牛,other.page_view.other,92,92,1.0,2,1.0,33.5,1,0
Slife,other.other.other,90,89,0.9888888888888889,3,1.0,28.0,1,0
Slife,step_count.step.other,90,90,1.0,1,1.0,36.0,1,0
途牛,private_chat.page_view.other,76,74,0.9736842105263158,1,1.0,48.0,1,0
途牛,other.other.cannot_or_fail,72,71,0.9861111111111112,2,1.0,29.0,1,0
Slife,share.share_panel.other,72,72,1.0,1,1.0,32.0,1,0
途牛,message_send.chat.cannot_or_fail,62,61,0.9838709677419355,0,1.0,33.5,1,0
途牛,message_send.image_banner.other,60,58,0.9666666666666667,1,1.0,26.5,1,0
jayme,search.other.other,52,51,0.9807692307692307,2,1.0,34.0,1,0
途牛,message_send.button_icon.other,49,48,0.9795918367346939,1,1.0,41.0,1,0
jayme,other.other.other,46,46,1.0,3,1.0,32.0,1,0
途牛,playback.audio.other,46,45,0.9782608695652174,1,1.0,29.0,1,0
jayme,groupchat.chat.other,45,44,0.9777777777777777,1,1.0,45.0,1,0
途牛,other.button_icon.other,44,44,1.0,2,1.0,39.0,1,0
雅思听力,other.other.other,43,43,1.0,3,1.0,26.0,1,0
途牛,message_send.list_item.other,43,42,0.9767441860465116,1,1.0,35.0,1,0
途牛,message_send.page_view.cannot_or_fail,43,43,1.0,0,1.0,37.0,1,0
途牛,message_send.image_banner.cannot_or_fail,41,40,0.975609756097561,0,1.0,32.0,1,0
Slife,share.share_panel.cannot_share,40,40,1.0,0,1.0,30.0,1,0
途牛,private_chat.chat.cannot_or_fail,40,40,1.0,0,1.0,35.0,1,0
途牛,message_send.other.other,39,36,0.9230769230769231,2,1.0,26.0,1,0
Slife,run_walk.page_view.other,39,38,0.9743589743589743,1,1.0,48.0,1,0
途牛,message_send.audio.other,37,35,0.9459459459459459,1,1.0,35.0,1,0
Slife,settings.page_view.other,37,37,1.0,1,1.0,35.0,1,0
Slife,share.page_view.other,36,35,0.9722222222222222,1,1.0,38.5,1,0
途牛,search.chat.cannot_or_fail,31,31,1.0,0,1.0,28.0,1,0
Slife,other.page_view.other,30,27,0.9,2,1.0,31.0,1,0
途牛,other.input_box.other,28,26,0.9285714285714286,2,1.0,28.0,1,0
jayme,search.chat.other,28,28,1.0,1,1.0,34.0,1,0
途牛,other.image_banner.other,26,25,0.9615384615384616,2,1.0,30.5,1,0
